movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,primary_title_lower,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,movie_lower,new_genres,profit,runtime
tt0249516,Foodfight!,Foodfight!,2012,91.0,"Action,Animation,Comedy",1.9,8248,foodfight!,26,2012-12-31,Foodfight!,45000000.0,0.0,73706.0,foodfight!,Action,-44926294.0,90-120(long)
tt0337692,On the Road,On the Road,2012,124.0,"Adventure,Drama,Romance",6.1,37886,on the road,17,2013-03-22,On the Road,25000000.0,720828.0,9313302.0,on the road,Adventure,-15686698.0,120-150(extralong)
tt4339118,On the Road,On the Road,2014,89.0,Drama,6.0,6,on the road,17,2013-03-22,On the Road,25000000.0,720828.0,9313302.0,on the road,Drama,-15686698.0,60-90(medium)
tt5647250,On the Road,On the Road,2016,121.0,Drama,5.7,127,on the road,17,2013-03-22,On the Road,25000000.0,720828.0,9313302.0,on the road,Drama,-15686698.0,120-150(extralong)
tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama",7.3,275300,the secret life of walter mitty,37,2013-12-25,The Secret Life of Walter Mitty,91000000.0,58236838.0,187861183.0,the secret life of walter mitty,Adventure,96861183.0,90-120(long)
tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",6.5,105116,a walk among the tombstones,67,2014-09-19,A Walk Among the Tombstones,28000000.0,26017685.0,62108587.0,a walk among the tombstones,Action,34108587.0,90-120(long)
tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",7.0,539338,jurassic world,34,2015-06-12,Jurassic World,215000000.0,652270625.0,1648854864.0,jurassic world,Action,1433854864.0,120-150(extralong)
tt0376136,The Rum Diary,The Rum Diary,2011,119.0,"Comedy,Drama",6.2,94787,the rum diary,16,2011-10-28,The Rum Diary,45000000.0,13109815.0,21544732.0,the rum diary,Comedy,-23455268.0,90-120(long)
tt0383010,The Three Stooges,The Three Stooges,2012,92.0,"Comedy,Family",5.1,28570,the three stooges,4,2012-04-13,The Three Stooges,30000000.0,44338224.0,54052249.0,the three stooges,Comedy,24052249.0,90-120(long)
tt0393049,Anderson's Cross,Anderson's Cross,2010,98.0,"Comedy,Drama,Romance",5.5,106,anderson's cross,65,2010-12-31,Anderson's Cross,300000.0,0.0,0.0,anderson's cross,Comedy,-300000.0,90-120(long)
tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366,tangled,15,2010-11-24,Tangled,260000000.0,200821936.0,586477240.0,tangled,Adventure,326477240.0,90-120(long)
tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",6.6,241792,john carter,14,2012-03-09,John Carter,275000000.0,73058679.0,282778100.0,john carter,Action,7778100.0,120-150(extralong)
